rank,team_code,team_name,group,confederation,champion_pct,reach_final_pct,reach_semi_pct,reach_qf_pct,reach_r16_pct
1,fra,France,I,UEFA,12.78,20.62,32.96,50.06,72.38
2,eng,England,L,UEFA,11.64,19.56,32.48,49.60,71.78
3,esp,Spain,H,UEFA,10.32,18.24,30.18,48.22,72.66
4,arg,Argentina,J,CONMEBOL,9.44,16.52,29.66,47.18,70.44
5,por,Portugal,K,UEFA,8.02,15.08,25.70,43.56,67.14
6,ned,Netherlands,F,UEFA,7.68,14.22,25.48,43.30,67.56
7,bra,Brazil,C,CONMEBOL,7.48,14.40,26.16,43.30,68.86
8,mex,Mexico,A,CONCACAF,4.84,9.52,19.24,36.34,63.78
9,bel,Belgium,G,UEFA,4.56,10.40,20.54,38.12,64.12
10,ger,Germany,E,UEFA,4.06,9.32,19.04,36.42,62.40
11,usa,United States,D,CONCACAF,3.76,8.04,17.76,34.14,59.20
12,cro,Croatia,L,UEFA,3.32,7.92,16.80,32.98,60.12
13,mar,Morocco,C,CAF,2.86,7.20,16.18,32.92,59.80
14,col,Colombia,K,CONMEBOL,2.10,5.72,13.56,29.68,57.04
15,uru,Uruguay,H,CONMEBOL,1.62,4.02,9.90,24.34,53.76
16,sen,Senegal,I,CAF,1.36,3.60,9.54,22.78,49.58
17,sui,Switzerland,B,UEFA,1.26,3.58,9.34,23.36,51.56
18,jpn,Japan,F,AFC,0.74,1.86,5.50,15.98,40.22
19,can,Canada,B,CONCACAF,0.36,1.34,4.80,15.72,39.62
20,ecu,Ecuador,E,CONMEBOL,0.36,1.50,5.08,16.78,43.98
21,tur,Türkiye,D,UEFA,0.32,1.78,5.24,15.56,37.56
22,irn,Iran,G,AFC,0.30,1.18,4.42,14.06,40.56
23,aut,Austria,J,UEFA,0.30,1.40,5.48,15.26,39.84
24,kor,South Korea,A,AFC,0.16,0.68,3.06,11.72,38.24
25,nor,Norway,I,UEFA,0.12,0.64,2.12,8.30,27.84
26,egy,Egypt,G,CAF,0.08,0.46,2.34,9.08,31.72
27,alg,Algeria,J,CAF,0.06,0.30,1.64,7.68,27.12
28,civ,Ivory Coast,E,CAF,0.04,0.26,1.24,6.14,25.00
29,pan,Panama,L,CONCACAF,0.04,0.14,0.80,4.96,20.98
30,swe,Sweden,F,UEFA,0.02,0.12,0.86,4.06,16.36
31,rsa,South Africa,A,CAF,0.00,0.00,0.00,0.10,1.74
32,cze,Czechia,A,UEFA,0.00,0.08,0.46,2.78,14.82
33,bih,Bosnia & Herzegovina,B,UEFA,0.00,0.00,0.02,0.26,4.20
34,qat,Qatar,B,AFC,0.00,0.00,0.04,0.42,4.68
35,hai,Haiti,C,CONCACAF,0.00,0.00,0.00,0.00,0.24
36,sco,Scotland,C,UEFA,0.00,0.02,0.34,3.08,16.90
37,par,Paraguay,D,CONMEBOL,0.00,0.04,0.36,2.48,10.64
38,aus,Australia,D,AFC,0.00,0.24,1.42,6.28,21.50
39,cuw,Curaçao,E,CONCACAF,0.00,0.00,0.00,0.00,0.14
40,tun,Tunisia,F,CAF,0.00,0.00,0.06,0.92,6.20
41,nzl,New Zealand,G,OFC,0.00,0.00,0.00,0.00,0.12
42,cpv,Cape Verde,H,CAF,0.00,0.00,0.00,0.08,1.42
43,ksa,Saudi Arabia,H,AFC,0.00,0.00,0.00,0.12,2.68
44,irq,Iraq,I,AFC,0.00,0.00,0.00,0.08,1.10
45,jor,Jordan,J,AFC,0.00,0.00,0.00,0.08,0.96
46,cod,DR Congo,K,CAF,0.00,0.00,0.14,1.10,6.58
47,uzb,Uzbekistan,K,AFC,0.00,0.00,0.04,0.58,4.56
48,gha,Ghana,L,CAF,0.00,0.00,0.02,0.04,0.30
